nodo,q,dual,unidad
O1,1,39.0,min/unidad de orden
O2,1,32.0,min/unidad de orden
O3,1,27.0,min/unidad de orden
O4,1,38.0,min/unidad de orden
O5,1,34.0,min/unidad de orden
O6,1,38.0,min/unidad de orden
C1,-1,-45.0,min/unidad de orden
C2,-1,-48.0,min/unidad de orden
C3,-1,-12.0,min/unidad de orden
C4,-1,1.0,min/unidad de orden
C5,-1,-3.0,min/unidad de orden
C6,-1,-0.0,min/unidad de orden
