nodo,q,dual,unidad
O1,1,35.0,min/unidad de orden
O2,1,34.0,min/unidad de orden
O3,1,29.0,min/unidad de orden
O4,1,37.0,min/unidad de orden
O5,1,36.0,min/unidad de orden
O6,1,38.0,min/unidad de orden
C1,-1,-7.0,min/unidad de orden
C2,-1,-6.0,min/unidad de orden
C3,-1,-10.0,min/unidad de orden
C4,-1,-3.0,min/unidad de orden
C5,-1,-1.0,min/unidad de orden
C6,-1,-0.0,min/unidad de orden
